Locality,2010_x,2011_x,2012_x,2013_x,2014_x,2015_x,2016_x,2017_x,2018_x,2019_x,2020_x,change 2010-2020,Growth PA,2010_y,2011_y,2012_y,2013_y,2014_y,2015_y,2016_y,2017_y,2018_y,2019_y,2020_y
Ivanhoe East,1415000,1300000,1200000,1310000,1513000,1542500,1764500,1975000,1914000,1775000,2055000,45,3.8,$350 ,$365 ,$390 ,$380 ,$400 ,$410 ,$420 ,$450 ,$450 ,$465 ,$460 
Keilor,603000,570000,592500,572500,633000,703000,805000,845000,815000,836500,880000,46,3.9,$350 ,$340 ,$350 ,$365 ,$370 ,$370 ,$400 ,$400 ,$430 ,$450 ,$410 
Keilor East,580000,587500,527500,560000,599000,651000,720000,843000,830000,835000,841000,45,3.8,$330 ,$350 ,$350 ,$360 ,$370 ,$370 ,$385 ,$395 ,$410 ,$420 ,$410 
Kensington,675500,650000,650000,690000,730000,822000,908000,1019000,1020000,978000,1103500,63,5.0,$365 ,$370 ,$385 ,$380 ,$390 ,$395 ,$400 ,$415 ,$420 ,$440 ,$440 
Kew,1650000,1650000,1500000,1751000,1950000,2080000,2207500,2320000,2380000,2345000,2210000,34,3.0,$400 ,$430 ,$440 ,$450 ,$450 ,$465 ,$475 ,$490 ,$500 ,$513 ,$530 
Lalor,387000,380000,360500,365000,385000,445000,499500,625500,623500,590000,623500,61,4.9,$290 ,$300 ,$300 ,$310 ,$310 ,$320 ,$330 ,$340 ,$350 ,$360 ,$365 
Lilydale,438500,456000,420000,469000,480000,534000,633500,710500,706500,676000,720000,64,5.1,$310 ,$330 ,$340 ,$340 ,$350 ,$360 ,$370 ,$380 ,$400 ,$410 ,$410 
Malvern,1741500,1542500,1550000,1508500,1946000,2230000,2328500,2750000,2661000,2570000,2748000,58,4.7,$390 ,$395 ,$420 ,$400 ,$433 ,$450 ,$455 ,$460 ,$475 ,$500 ,$468 
Malvern East,1188000,1120000,1039000,1200000,1380000,1610000,1729000,1824000,1900000,1789000,1865000,57,4.6,$350 ,$365 ,$375 ,$369 ,$375 ,$388 ,$395 ,$410 ,$425 ,$460 ,$440 
Melton,250000,256000,250000,245000,240000,255000,280500,368500,415000,385000,390000,56,4.5,$250 ,$265 ,$270 ,$270 ,$275 ,$280 ,$295 ,$310 ,$330 ,$340 ,$345 
