,Locality,,Jun-10,,Jun-11,,Jun-12,,Jun-13,,Jun-14,,Jun-15,,Jun-16,,Jun-17,,Jun-18,,Jun-19,,Jun-20
,locality,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median
,Thomastown-Lalor,747,$290 ,859,$300 ,"1,080",$300 ,"1,049",$310 ,"1,069",$310 ,"1,074",$320 ,"1,116",$330 ,"1,107",$340 ,"1,138",$350 ,"1,101",$360 ,"1,177",$365 
,Thornbury,949,$300 ,"1,020",$300 ,"1,119",$340 ,"1,042",$330 ,"1,048",$340 ,"1,170",$350 ,"1,210",$365 ,"1,167",$370 ,"1,216",$410 ,"1,090",$420 ,"1,096",$420 
,Whittlesea,278,$330 ,386,$350 ,571,$335 ,859,$330 ,872,$330 ,961,$340 ,"1,238",$340 ,"1,338",$350 ,"1,220",$370 ,"1,308",$380 ,"1,646",$390 
,Group Total,"12,225",$320 ,"13,375",$335 ,"15,260",$340 ,"15,773",$340 ,"16,031",$340 ,"16,484",$350 ,"17,505",$355 ,"17,839",$370 ,"17,757",$390 ,"17,337",$400 ,"17,725",$400 
Outer Eastern Melbourne,Bayswater,434,$290 ,514,$316 ,601,$320 ,568,$320 ,589,$335 ,596,$345 ,662,$350 ,716,$360 ,661,$380 ,699,$390 ,674,$390 
,Boronia,590,$310 ,644,$320 ,705,$330 ,778,$330 ,726,$340 ,682,$350 ,793,$350 ,806,$360 ,865,$380 ,858,$390 ,797,$390 
,Croydon-Lilydale,"1,921",$310 ,"2,004",$330 ,"2,088",$340 ,"2,192",$340 ,"2,238",$350 ,"2,269",$360 ,"2,434",$370 ,"2,518",$380 ,"2,395",$400 ,"2,455",$410 ,"2,372",$410 
,Ferntree Gully,442,$310 ,467,$320 ,565,$320 ,505,$335 ,522,$340 ,518,$350 ,538,$370 ,597,$380 ,625,$400 ,633,$400 ,563,$420 
,Ringwood,"1,189",$310 ,"1,221",$321 ,"1,407",$335 ,"1,421",$330 ,"1,404",$345 ,"1,432",$360 ,"1,603",$365 ,"1,622",$380 ,"1,649",$390 ,"1,614",$400 ,"1,636",$410 
,Rowville,435,$360 ,468,$380 ,452,$390 ,447,$400 ,460,$400 ,561,$400 ,552,$420 ,539,$440 ,561,$445 ,590,$450 ,591,$450 
